gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,total_services,income_per_tenure
0,0,1,0,1,0,0,1,0,0,0,0,1,29.85,29.85,0,True,False,False,False,False,False,False,True,False,1,14.925
1,0,0,0,34,1,1,0,1,0,0,0,0,56.95,1889.5,0,False,False,False,False,True,False,False,False,True,3,1.6271428571428572
1,0,0,0,2,1,1,1,0,0,0,0,1,53.85,108.15,1,False,False,False,False,False,False,False,False,True,3,17.95
1,0,0,0,45,0,1,0,1,1,0,0,0,42.3,1840.75,0,True,False,False,False,True,False,False,False,False,3,0.9195652173913043
0,0,0,0,2,1,0,0,0,0,0,0,1,70.7,151.65,1,False,False,True,False,False,False,False,True,False,1,23.566666666666666
0,0,0,0,8,1,0,0,1,0,1,1,1,99.65,820.5,1,False,True,True,False,False,False,False,True,False,4,11.072222222222223
1,0,0,1,22,1,0,1,0,0,1,0,1,89.1,1949.4,0,False,True,True,False,False,False,True,False,False,3,3.8739130434782605
0,0,0,0,10,0,1,0,0,0,0,0,0,29.75,301.9,0,True,False,False,False,False,False,False,False,True,1,2.7045454545454546
0,0,1,0,28,1,0,0,1,1,1,1,1,104.8,3046.05,1,False,True,True,False,False,False,False,True,False,5,3.613793103448276
1,0,0,1,62,1,1,1,0,0,0,0,0,56.15,3487.95,0,False,False,False,False,True,False,False,False,False,3,0.8912698412698412
1,0,1,1,13,1,1,0,0,0,0,0,1,49.95,587.45,0,False,False,False,False,False,False,False,False,True,2,3.567857142857143
1,0,0,0,16,1,0,0,0,0,0,0,0,18.95,326.8,0,False,False,False,True,False,True,True,False,False,1,1.1147058823529412
1,0,1,0,58,1,0,0,1,0,1,1,0,100.35,5681.1,0,False,True,True,False,True,False,True,False,False,4,1.7008474576271186
1,0,0,0,49,1,0,1,1,0,1,1,1,103.7,5036.3,1,False,True,True,False,False,False,False,False,False,5,2.074
1,0,0,0,25,1,1,0,1,1,1,1,1,105.5,2686.05,0,False,False,True,False,False,False,False,True,False,6,4.0576923076923075
0,0,1,1,69,1,1,1,1,1,1,1,0,113.25,7895.15,0,False,True,True,False,False,True,True,False,False,7,1.6178571428571429
0,0,0,0,52,1,0,0,0,0,0,0,0,20.65,1022.95,0,False,False,False,True,True,False,False,False,True,1,0.38962264150943393
1,0,0,1,71,1,1,0,1,0,1,1,0,106.7,7382.25,0,False,True,True,False,False,True,False,False,False,5,1.4819444444444445
0,0,1,1,10,1,0,0,1,1,0,0,0,55.2,528.35,1,False,False,False,False,False,False,True,False,False,3,5.0181818181818185
0,0,0,0,21,1,0,1,1,0,0,1,1,90.05,1862.9,0,False,False,True,False,False,False,False,True,False,4,4.093181818181818
1,1,0,0,1,0,0,0,1,0,0,1,1,39.65,39.65,1,True,False,False,False,False,False,False,True,False,2,19.825
1,0,1,0,12,1,0,0,0,0,0,0,0,19.8,202.25,0,False,False,False,True,True,False,False,False,False,1,1.5230769230769232
1,0,0,0,1,1,0,0,0,0,0,0,0,20.15,20.15,1,False,False,False,True,False,False,False,False,True,1,10.075
0,0,1,0,58,1,0,1,0,1,0,0,1,59.9,3505.1,0,False,True,False,False,False,True,True,False,False,3,1.0152542372881355
1,0,1,1,49,1,1,1,0,1,0,0,0,59.6,2970.3,0,False,False,False,False,False,False,True,False,False,4,1.192
0,0,0,0,30,1,1,1,0,0,0,0,1,55.3,1530.6,0,False,False,False,False,False,False,False,False,False,3,1.7838709677419353
1,0,1,1,47,1,0,1,0,0,1,1,1,99.35,4749.15,1,False,True,True,False,False,False,False,True,False,4,2.0697916666666667
1,0,1,1,1,0,0,1,0,0,0,0,0,30.2,30.2,1,True,False,False,False,False,False,False,True,False,1,15.1
1,0,1,0,72,1,1,1,1,1,1,1,1,90.25,6369.45,0,False,True,False,False,False,True,True,False,False,7,1.2363013698630136
